DATA;ÚLTIMO;ABERTURA;MÁXIMA;MÍNIMA;VOL;VAR%;GOOGLE TRENDS;TOTAL DE VACINADOS
01/02/2021;117.518;115.093;117.862;115.093;8,72;2,13%;37;235974
02/02/2021;118.234;117.520;119.805;117.519;11,63;0,61%;44;267764
03/02/2021;119.725;118.235;120.210;118.234;8,7;1,26%;41;289621
04/02/2021;119.261;119.728;120.560;118.918;8,1;-0,39%;39;318848
05/02/2021;120.240;119.261;121.117;119.261;8,21;0,82%;48;298735
08/02/2021;119.696;120.239;120.844;119.140;8,62;-0,45%;39;271771
09/02/2021;119.472;119.696;119.975;118.246;7,91;-0,19%;41;290926
10/02/2021;118.435;119.472;119.738;117.970;8,64;-0,87%;40;350552
11/02/2021;119.300;118.440;120.283;118.440;7,57;0,73%;34;440271
12/02/2021;119.429;119.300;119.763;118.163;7,66;0,11%;36;490138
17/02/2021;120.356;119.421;120.597;118.880;8,33;0,78%;27;351619
18/02/2021;119.199;120.361;120.845;118.515;10,72;-0,96%;27;407662
19/02/2021;118.431;119.199;119.250;117.867;10,4;-0,64%;32;312688
22/02/2021;112.668;118.388;118.388;111.650;21,77;-4,87%;25;229136
23/02/2021;115.227;112.676;115.380;112.667;15,17;2,27%;29;209104
24/02/2021;115.668;115.229;116.208;114.668;11,4;0,38%;29;181752
25/02/2021;112.256;115.668;116.506;111.764;12,47;-2,95%;37;195861
26/02/2021;110.035;112.260;113.466;109.827;14,62;-1,98%;35;294224
01/03/2021;110.335;110.036;112.445;110.036;11,24;0,27%;45;495935
02/03/2021;111.540;110.328;112.428;107.319;14,82;1,09%;51;514296
03/03/2021;111.184;111.529;112.398;107.466;15,14;-0,32%;45;602421
04/03/2021;112.690;111.191;114.433;111.163;14,22;1,35%;51;509995
05/03/2021;115.202;112.690;115.504;112.504;13,25;2,23%;46;504941
08/03/2021;110.612;115.202;115.202;110.268;13,7;-3,98%;38;434700
09/03/2021;111.331;110.611;112.525;109.343;12,14;0,65%;36;399236
10/03/2021;112.776;111.331;112.928;109.999;12,51;1,30%;43;436978
11/03/2021;114.984;112.782;115.127;112.776;12,09;1,96%;46;446319
12/03/2021;114.160;114.984;114.984;113.253;8,11;-0,72%;48;457920
15/03/2021;114.851;114.093;114.903;113.635;8,22;0,60%;50;510498
16/03/2021;114.019;114.845;114.974;113.370;7,8;-0,72%;45;416285
17/03/2021;116.549;114.018;116.736;113.428;9,43;2,22%;46;352915
18/03/2021;114.835;116.549;116.751;114.302;9,92;-1,47%;51;425791
19/03/2021;116.222;114.837;116.446;114.610;12,34;1,21%;58;708715
22/03/2021;114.979;116.222;116.225;113.620;8,16;-1,07%;72;644410
23/03/2021;113.262;114.977;115.599;113.062;8,3;-1,49%;100;810970
24/03/2021;112.064;113.272;114.823;112.064;9,83;-1,06%;72;993149
25/03/2021;113.750;112.065;114.024;110.927;10,31;1,50%;69;1035975
26/03/2021;114.781;113.750;115.416;113.305;8,66;0,91%;71;1064511
29/03/2021;115.419;114.776;115.553;114.096;7,46;0,56%;81;1024525
30/03/2021;116.850;115.414;117.090;114.999;8,14;1,24%;69;1166535
31/03/2021;116.634;116.850;117.249;115.932;10,66;-0,18%;62;1041208
01/04/2021;115.253;116.644;117.088;114.991;8,02;-1,18%;69;740487
05/04/2021;117.518;115.262;117.668;115.262;7,25;1,97%;68;1020453
06/04/2021;117.499;117.519;118.213;117.176;6,8;-0,02%;59;856597
07/04/2021;117.624;117.499;118.303;116.748;8,54;0,11%;58;791019
08/04/2021;118.313;117.624;118.850;117.486;8,78;0,59%;58;689153
09/04/2021;117.670;118.313;118.643;117.336;7,74;-0,54%;63;887576
12/04/2021;118.812;117.661;118.812;117.661;7;0,97%;66;947414
13/04/2021;119.297;118.809;119.529;118.041;8,98;0,41%;59;847664
14/04/2021;120.295;119.298;120.871;119.298;10,08;0,84%;59;827165
15/04/2021;120.701;120.290;121.409;120.084;7,95;0,34%;53;862471
16/04/2021;121.114;120.701;121.333;120.199;7,95;0,34%;57;1006448
19/04/2021;120.934;121.116;121.974;120.682;10,03;-0,15%;65;1182577
20/04/2021;120.062;120.925;121.354;119.841;7,81;-0,72%;96;1434574
22/04/2021;119.371;120.064;120.995;119.203;8,6;-0,58%;57;1404259
23/04/2021;120.530;119.372;120.815;119.372;7,62;0,97%;55;1210169
26/04/2021;120.595;120.534;121.393;119.860;7,1;0,05%;58;1132511
27/04/2021;119.388;120.595;121.012;119.003;8,36;-1,00%;52;1071822
28/04/2021;121.053;119.392;121.276;119.392;9,08;1,39%;61;1008013
29/04/2021;120.066;121.053;121.498;119.703;8,5;-0,82%;62;931399
30/04/2021;118.894;120.064;120.125;118.894;11,09;-0,98%;62;733645
