Categoria: Todas as categorias
Dia,Vacina contra COVID-19: (Brasil)
2021-02-01,37
2021-02-02,44
2021-02-03,41
2021-02-04,39
2021-02-05,48
2021-02-06,39
2021-02-07,30
2021-02-08,39
2021-02-09,41
2021-02-10,40
2021-02-11,34
2021-02-12,36
2021-02-13,30
2021-02-14,27
2021-02-15,31
2021-02-16,32
2021-02-17,27
2021-02-18,27
2021-02-19,32
2021-02-20,28
2021-02-21,23
2021-02-22,25
2021-02-23,29
2021-02-24,29
2021-02-25,37
2021-02-26,35
2021-02-27,36
2021-02-28,34
2021-03-01,45
2021-03-02,51
2021-03-03,45
2021-03-04,51
2021-03-05,46
2021-03-06,39
2021-03-07,35
2021-03-08,38
2021-03-09,36
2021-03-10,43
2021-03-11,46
2021-03-12,48
2021-03-13,42
2021-03-14,31
2021-03-15,50
2021-03-16,45
2021-03-17,46
2021-03-18,51
2021-03-19,58
2021-03-20,51
2021-03-21,46
2021-03-22,72
2021-03-23,100
2021-03-24,72
2021-03-25,69
2021-03-26,71
2021-03-27,68
2021-03-28,52
2021-03-29,81
2021-03-30,69
2021-03-31,62
2021-04-01,69
2021-04-02,66
2021-04-03,65
2021-04-04,52
2021-04-05,68
2021-04-06,59
2021-04-07,58
2021-04-08,58
2021-04-09,63
2021-04-10,67
2021-04-11,52
2021-04-12,66
2021-04-13,59
2021-04-14,59
2021-04-15,53
2021-04-16,57
2021-04-17,58
2021-04-18,40
2021-04-19,65
2021-04-20,96
2021-04-21,74
2021-04-22,57
2021-04-23,55
2021-04-24,51
2021-04-25,43
2021-04-26,58
2021-04-27,52
2021-04-28,61
2021-04-29,62
2021-04-30,62
